mods_id,xi,omega,alpha,name,value,params_1,wl_weight,post_tx_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,bio_weight,abo_weight,height_weight,cost_weight,distance_weight,method
med_wlt,73.78663915191011,6.031669465450646,0.9811864968102292,hgt_cat,"(67,70]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,212.17534722206196,13.31663423774656,1.2107209516373802,hgt_cat,"(67,70]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,164.63864970545714,14.302693404676171,0.8014494062382331,hgt_cat,"(67,70]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,11.12904476089949,0.8841101701777201,0.3729087521655348,hgt_cat,"(67,70]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,1433.4309021887275,43.58657050625183,-0.7389305883199754,hgt_cat,"(70, Inf]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,1167.0180546560157,38.420467728396346,-1.1204122865704276,hgt_cat,"(70, Inf]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,86.87425700053693,12.858676460420996,1.1371842290025689,hgt_cat,"(70, Inf]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,14.549639878114863,2.138192741769736,1.0639923497483268,hgt_cat,"(70, Inf]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,182.73010477168935,14.49932859471697,1.1063725543073717,hgt_cat,"(70, Inf]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,49.93147394723571,5.117583886953864,1.0294778865488403,hgt_cat,"(70, Inf]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,240.79628580504163,12.880414701747185,0.477123349665978,hgt_cat,"(70, Inf]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,137.56229373234808,16.674039402979542,1.640991879226731,hgt_cat,"(70, Inf]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,10.689505130513398,1.309690123593174,1.6928081552033611,hgt_cat,"(70, Inf]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,2705.4718624668103,67.18470746028103,0.952320947848565,abo,A,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,2091.5824728129555,48.04863602884572,-0.630263063955691,abo,A,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,212.46240067467016,19.394609576562935,-0.916442514709244,abo,A,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,15.301504935739588,1.2791838981311443,-0.6898229192385377,abo,A,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,145.0474248252499,10.061900898909215,1.1737244233939357,abo,A,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,66.59331510635526,5.420836023562793,1.0101646749639284,abo,A,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,255.85202784384063,10.816147891206198,-0.6010671571344085,abo,A,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,247.3695975280499,18.655619264420363,0.8486536490526077,abo,A,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,10.817999521318534,0.7817757157553704,0.6437021881159131,abo,A,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,277.60751341937305,19.556343039450475,-0.3177705198746306,abo,AB,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,230.7456656566798,16.996566146421056,-0.33378380307680094,abo,AB,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,12.202330743623968,5.619756265374672,1.4266031605659908,abo,AB,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,10.048228521587417,5.771517891434263,2.0448036129877925,abo,AB,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,170.54617606336575,42.87139980301366,3.0940503832219166,abo,AB,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,46.31331819267472,8.24676272027618,0.9547066778626409,abo,AB,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,347.08618865506725,27.447656655000845,-0.3464298462816119,abo,AB,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,24.977482391706417,6.998982875485192,1.2770023650383928,abo,AB,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,9.9502843884538,2.553253886429348,1.0067287506630849,abo,AB,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,832.8955000915456,39.0027075615529,0.6535703662672361,abo,B,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,660.0391275234364,27.13398916753218,-0.5261171282257325,abo,B,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,59.82316241429178,9.1655147411817,0.4553705710463734,abo,B,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,13.64335534954895,2.735114021391485,1.371460136888948,abo,B,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,153.633492052966,13.820691160417203,0.6700121203022791,abo,B,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,63.112842857088005,7.970548699309255,1.0683002529895902,abo,B,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,289.411359444392,19.251176300093935,-1.053810744591494,abo,B,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
