wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,params_1,match_alg_name
0.2,0.2,0.15,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,162,PRE_ABO_CAS
0.2,0.2,0.15,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,163,PRE_ABO_CAS
0.2,0.2,0.15,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,164,PRE_ABO_CAS
0.2,0.2,0.15,0.15,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,165,PRE_ABO_CAS
0.2,0.2,0.2,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,166,PRE_ABO_CAS
0.2,0.2,0.2,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,167,PRE_ABO_CAS
0.2,0.2,0.2,0.1,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,168,PRE_ABO_CAS
0.2,0.2,0.25,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,169,PRE_ABO_CAS
0.2,0.2,0.25,0.05,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,170,PRE_ABO_CAS
0.2,0.2,0.3,0,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,171,PRE_ABO_CAS
0.2,0.25,0,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,172,PRE_ABO_CAS
0.2,0.25,0,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,173,PRE_ABO_CAS
0.2,0.25,0,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,174,PRE_ABO_CAS
0.2,0.25,0,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,175,PRE_ABO_CAS
0.2,0.25,0,0.2,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,176,PRE_ABO_CAS
0.2,0.25,0,0.25,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,177,PRE_ABO_CAS
0.2,0.25,0.05,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,178,PRE_ABO_CAS
0.2,0.25,0.05,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,179,PRE_ABO_CAS
0.2,0.25,0.05,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,180,PRE_ABO_CAS
0.2,0.25,0.05,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,181,PRE_ABO_CAS
0.2,0.25,0.05,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,182,PRE_ABO_CAS
0.2,0.25,0.1,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,183,PRE_ABO_CAS
0.2,0.25,0.1,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,184,PRE_ABO_CAS
0.2,0.25,0.1,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,185,PRE_ABO_CAS
0.2,0.25,0.1,0.15,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,186,PRE_ABO_CAS
0.2,0.25,0.15,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,187,PRE_ABO_CAS
0.2,0.25,0.15,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,188,PRE_ABO_CAS
0.2,0.25,0.15,0.1,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,189,PRE_ABO_CAS
0.2,0.25,0.2,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,190,PRE_ABO_CAS
0.2,0.25,0.2,0.05,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,191,PRE_ABO_CAS
